Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
89530924,bmminer-mix,bmminer for S9 T9 R4 T9+,2017-04-26T22:08:36Z,2017-04-26T22:08:38Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/bmminer-mix,https://api.github.com/repos/petertodd/bmminer-mix/commits,https://api.github.com/repos/petertodd/bmminer-mix/languages,C
6408305,boto,Python interface to Amazon Web Services,2012-10-26T18:15:52Z,2013-01-12T20:39:04Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/boto,https://api.github.com/repos/petertodd/boto/commits,https://api.github.com/repos/petertodd/boto/languages,Python
34603384,CCSS,The CryptoCurrency Security Standard,2015-04-26T08:13:22Z,2015-04-26T08:13:22Z,petertodd,Other,True,1,0,0,0,https://api.github.com/repos/petertodd/CCSS,https://api.github.com/repos/petertodd/CCSS/commits,https://api.github.com/repos/petertodd/CCSS/languages,HTML
28482294,checklocktimeverify-demos,CHECKLOCKTIMEVERIFY (BIP65) Demos,2014-12-25T13:29:58Z,2019-08-07T05:00:24Z,petertodd,GNU General Public License v3.0,True,21,2,42,42,https://api.github.com/repos/petertodd/checklocktimeverify-demos,https://api.github.com/repos/petertodd/checklocktimeverify-demos/commits,https://api.github.com/repos/petertodd/checklocktimeverify-demos/languages,Python
184442695,coercion,In-place type conversion.,2019-05-01T16:03:18Z,2019-05-01T16:53:14Z,petertodd,Other,True,0,0,0,0,https://api.github.com/repos/petertodd/coercion,https://api.github.com/repos/petertodd/coercion/commits,https://api.github.com/repos/petertodd/coercion/languages,Rust
21987392,coinkite-real-time-invoice,Real Time Invoice System with Feedback for Bitcoin,2014-07-18T16:47:00Z,2019-12-15T17:26:14Z,petertodd,MIT License,True,34,0,0,0,https://api.github.com/repos/petertodd/coinkite-real-time-invoice,https://api.github.com/repos/petertodd/coinkite-real-time-invoice/commits,https://api.github.com/repos/petertodd/coinkite-real-time-invoice/languages,Python
533260,congestion,,2010-02-24T03:15:54Z,2014-12-26T07:56:42Z,petertodd,GNU General Public License v3.0,False,0,0,2,2,https://api.github.com/repos/petertodd/congestion,https://api.github.com/repos/petertodd/congestion/commits,https://api.github.com/repos/petertodd/congestion/languages,Python
22176169,counterblockd,"Provides extended API services to Counterwallet, as well as Counterparty 3rd-party applications",2014-07-23T20:35:48Z,2014-07-19T06:24:28Z,petertodd,MIT License,True,0,0,0,0,https://api.github.com/repos/petertodd/counterblockd,https://api.github.com/repos/petertodd/counterblockd/commits,https://api.github.com/repos/petertodd/counterblockd/languages,
22176289,counterpartyd,Counterparty reference client,2014-07-23T20:37:55Z,2014-07-22T11:37:50Z,petertodd,MIT License,True,1,0,0,0,https://api.github.com/repos/petertodd/counterpartyd,https://api.github.com/repos/petertodd/counterpartyd/commits,https://api.github.com/repos/petertodd/counterpartyd/languages,
89056344,crates.io-index,,2017-04-22T08:44:51Z,2017-04-22T08:45:07Z,petertodd,,False,0,0,0,0,https://api.github.com/repos/petertodd/crates.io-index,https://api.github.com/repos/petertodd/crates.io-index/commits,https://api.github.com/repos/petertodd/crates.io-index/languages,C
46700650,csv-demos,,2015-11-23T06:20:34Z,2016-10-10T13:48:09Z,petertodd,GNU General Public License v3.0,True,0,0,3,3,https://api.github.com/repos/petertodd/csv-demos,https://api.github.com/repos/petertodd/csv-demos/commits,https://api.github.com/repos/petertodd/csv-demos/languages,Python
